,temperature,p,alpha_plus,alpha_minus,seed,total_reward
0,0.01,0.1,0.001,0.001,1,7954
1,0.01,0.1,0.001,0.001,2,7926
2,0.01,0.1,0.001,0.001,3,7998
3,0.01,0.1,0.001,0.001,4,7904
4,0.01,0.1,0.001,0.001,5,8050
5,0.01,0.1,0.001,0.001,6,7976
6,0.01,0.1,0.001,0.001,7,8014
7,0.01,0.1,0.001,0.001,8,8012
8,0.01,0.1,0.001,0.001,9,7972
9,0.01,0.1,0.001,0.001,10,7968
10,0.01,0.1,0.001,0.001,11,7994
11,0.01,0.1,0.001,0.001,12,8020
12,0.01,0.1,0.001,0.001,13,8014
13,0.01,0.1,0.001,0.001,14,8092
14,0.01,0.1,0.001,0.001,15,7952
15,0.01,0.1,0.001,0.001,16,7998
16,0.01,0.1,0.001,0.001,17,8026
17,0.01,0.1,0.001,0.001,18,7938
18,0.01,0.1,0.001,0.001,19,8032
19,0.01,0.1,0.001,0.001,20,7904
20,0.01,0.1,0.001,0.001,21,8012
21,0.01,0.1,0.001,0.001,22,7892
22,0.01,0.1,0.001,0.001,23,7926
23,0.01,0.1,0.001,0.001,24,7950
24,0.01,0.1,0.001,0.001,25,7908
25,0.01,0.1,0.001,0.001,26,7918
26,0.01,0.1,0.001,0.001,27,8014
27,0.01,0.1,0.001,0.001,28,7906
28,0.01,0.1,0.001,0.001,29,7960
29,0.01,0.1,0.001,0.001,30,8070
30,0.01,0.1,0.001,0.001,31,8010
31,0.01,0.1,0.001,0.001,32,7950
32,0.01,0.1,0.001,0.001,33,7892
33,0.01,0.1,0.001,0.001,34,8012
34,0.01,0.1,0.001,0.001,35,7906
35,0.01,0.1,0.001,0.001,36,8048
36,0.01,0.1,0.001,0.001,37,8006
37,0.01,0.1,0.001,0.001,38,7966
38,0.01,0.1,0.001,0.001,39,7988
39,0.01,0.1,0.001,0.001,40,8040
40,0.01,0.1,0.001,0.001,41,7950
41,0.01,0.1,0.001,0.001,42,8046
42,0.01,0.1,0.001,0.001,43,7958
43,0.01,0.1,0.001,0.001,44,7814
44,0.01,0.1,0.001,0.001,45,7936
45,0.01,0.1,0.001,0.001,46,8114
46,0.01,0.1,0.001,0.001,47,8042
47,0.01,0.1,0.001,0.001,48,7940
48,0.01,0.1,0.001,0.001,49,7970
49,0.01,0.1,0.001,0.001,50,7934
50,0.01,0.1,0.001,0.0025,1,7946
51,0.01,0.1,0.001,0.0025,2,7938
52,0.01,0.1,0.001,0.0025,3,8006
53,0.01,0.1,0.001,0.0025,4,7904
54,0.01,0.1,0.001,0.0025,5,8058
55,0.01,0.1,0.001,0.0025,6,7992
56,0.01,0.1,0.001,0.0025,7,8022
57,0.01,0.1,0.001,0.0025,8,8012
58,0.01,0.1,0.001,0.0025,9,7976
59,0.01,0.1,0.001,0.0025,10,7972
60,0.01,0.1,0.001,0.0025,11,7994
61,0.01,0.1,0.001,0.0025,12,8020
62,0.01,0.1,0.001,0.0025,13,8022
63,0.01,0.1,0.001,0.0025,14,8096
64,0.01,0.1,0.001,0.0025,15,7960
65,0.01,0.1,0.001,0.0025,16,8006
66,0.01,0.1,0.001,0.0025,17,8030
67,0.01,0.1,0.001,0.0025,18,7946
68,0.01,0.1,0.001,0.0025,19,8036
69,0.01,0.1,0.001,0.0025,20,7908
70,0.01,0.1,0.001,0.0025,21,8020
71,0.01,0.1,0.001,0.0025,22,7896
72,0.01,0.1,0.001,0.0025,23,7922
73,0.01,0.1,0.001,0.0025,24,7958
74,0.01,0.1,0.001,0.0025,25,7916
75,0.01,0.1,0.001,0.0025,26,7934
76,0.01,0.1,0.001,0.0025,27,8014
77,0.01,0.1,0.001,0.0025,28,7910
78,0.01,0.1,0.001,0.0025,29,7964
79,0.01,0.1,0.001,0.0025,30,8074
80,0.01,0.1,0.001,0.0025,31,8018
81,0.01,0.1,0.001,0.0025,32,7962
82,0.01,0.1,0.001,0.0025,33,7892
83,0.01,0.1,0.001,0.0025,34,8016
84,0.01,0.1,0.001,0.0025,35,7906
85,0.01,0.1,0.001,0.0025,36,8052
86,0.01,0.1,0.001,0.0025,37,8006
87,0.01,0.1,0.001,0.0025,38,7982
88,0.01,0.1,0.001,0.0025,39,7992
89,0.01,0.1,0.001,0.0025,40,8040
90,0.01,0.1,0.001,0.0025,41,7954
91,0.01,0.1,0.001,0.0025,42,8050
92,0.01,0.1,0.001,0.0025,43,7962
93,0.01,0.1,0.001,0.0025,44,7814
94,0.01,0.1,0.001,0.0025,45,7952
95,0.01,0.1,0.001,0.0025,46,8118
96,0.01,0.1,0.001,0.0025,47,8046
97,0.01,0.1,0.001,0.0025,48,7948
